algorithm,beta,n,seed,detected_race_to_loan,shd,beta_hat,wall_time_s
GRaSP,0.0,50000,1002,0,5,,0.02
ICA-LiNGAM,0.0,50000,1002,0,0,0.0,0.206
DirectLiNGAM,0.0,50000,1002,0,0,0.0,0.702
PC,0.0,50000,1003,0,4,,0.032
FCI,0.0,50000,1003,0,8,,0.049
GES,0.0,50000,1003,0,5,,0.059
GRaSP,0.0,50000,1003,0,2,,0.019
ICA-LiNGAM,0.0,50000,1003,0,0,0.0,0.207
DirectLiNGAM,0.0,50000,1003,0,0,0.0,0.751
PC,0.0,50000,1004,0,4,,0.031
FCI,0.0,50000,1004,0,8,,0.046
GES,0.0,50000,1004,0,5,,0.057
GRaSP,0.0,50000,1004,0,5,,0.015
ICA-LiNGAM,0.0,50000,1004,0,0,0.0,0.175
DirectLiNGAM,0.0,50000,1004,0,0,0.0,0.734
PC,0.0,50000,1005,0,9,,0.033
FCI,0.0,50000,1005,0,6,,0.056
GES,0.0,50000,1005,0,5,,0.058
GRaSP,0.0,50000,1005,0,2,,0.012
ICA-LiNGAM,0.0,50000,1005,0,0,0.0,0.214
DirectLiNGAM,0.0,50000,1005,0,0,0.0,0.702
PC,0.0,50000,1006,0,4,,0.032
FCI,0.0,50000,1006,0,8,,0.047
GES,0.0,50000,1006,0,5,,0.058
GRaSP,0.0,50000,1006,0,2,,0.016
ICA-LiNGAM,0.0,50000,1006,0,0,0.0,0.207
DirectLiNGAM,0.0,50000,1006,0,0,0.0,0.725
PC,0.0,50000,1007,0,4,,0.034
FCI,0.0,50000,1007,0,8,,0.048
GES,0.0,50000,1007,0,5,,0.058
GRaSP,0.0,50000,1007,0,5,,0.012
ICA-LiNGAM,0.0,50000,1007,0,0,0.0,0.208
DirectLiNGAM,0.0,50000,1007,0,0,0.0,0.734
PC,0.0,50000,1008,0,4,,0.032
FCI,0.0,50000,1008,0,8,,0.047
GES,0.0,50000,1008,0,15,,0.044
GRaSP,0.0,50000,1008,0,2,,0.015
ICA-LiNGAM,0.0,50000,1008,0,0,0.0,0.146
DirectLiNGAM,0.0,50000,1008,0,0,0.0,0.747
PC,0.0,50000,1009,0,4,,0.031
FCI,0.0,50000,1009,0,8,,0.052
GES,0.0,50000,1009,0,5,,0.045
GRaSP,0.0,50000,1009,0,5,,0.014
ICA-LiNGAM,0.0,50000,1009,0,0,0.0,0.219
DirectLiNGAM,0.0,50000,1009,0,0,0.0,0.73
PC,0.0,50000,1010,0,4,,0.03
FCI,0.0,50000,1010,0,8,,0.046
GES,0.0,50000,1010,0,5,,0.059
GRaSP,0.0,50000,1010,0,15,,0.014
ICA-LiNGAM,0.0,50000,1010,0,0,0.0,0.191
DirectLiNGAM,0.0,50000,1010,0,0,0.0,0.722
PC,0.0,50000,1011,0,2,,0.034
FCI,0.0,50000,1011,0,5,,0.045
GES,0.0,50000,1011,0,5,,0.058
GRaSP,0.0,50000,1011,0,2,,0.014
ICA-LiNGAM,0.0,50000,1011,0,0,0.0,0.211
DirectLiNGAM,0.0,50000,1011,0,0,0.0,0.725
PC,0.0,50000,1012,0,4,,0.033
FCI,0.0,50000,1012,0,8,,0.047
GES,0.0,50000,1012,0,5,,0.058
GRaSP,0.0,50000,1012,0,5,,0.016
ICA-LiNGAM,0.0,50000,1012,0,0,0.0,0.217
DirectLiNGAM,0.0,50000,1012,0,0,0.0,0.773
PC,0.0,50000,1013,0,6,,0.03
FCI,0.0,50000,1013,0,9,,0.045
GES,0.0,50000,1013,0,2,,0.046
GRaSP,0.0,50000,1013,0,13,,0.02
ICA-LiNGAM,0.0,50000,1013,0,0,0.0,0.177
DirectLiNGAM,0.0,50000,1013,0,0,0.0,0.75
PC,0.0,50000,1014,0,5,,0.033
FCI,0.0,50000,1014,0,9,,0.052
GES,0.0,50000,1014,0,5,,0.059
GRaSP,0.0,50000,1014,0,5,,0.018
ICA-LiNGAM,0.0,50000,1014,0,0,0.0,0.198
DirectLiNGAM,0.0,50000,1014,0,0,0.0,0.72
PC,0.0,50000,1015,0,4,,0.031
FCI,0.0,50000,1015,0,8,,0.048
GES,0.0,50000,1015,0,5,,0.059
GRaSP,0.0,50000,1015,0,2,,0.014
ICA-LiNGAM,0.0,50000,1015,0,0,0.0,0.202
DirectLiNGAM,0.0,50000,1015,0,0,0.0,0.742
PC,0.0,50000,1016,0,4,,0.031
FCI,0.0,50000,1016,0,8,,0.046
GES,0.0,50000,1016,0,5,,0.064
GRaSP,0.0,50000,1016,0,5,,0.021
ICA-LiNGAM,0.0,50000,1016,0,0,0.0,0.217
DirectLiNGAM,0.0,50000,1016,0,0,0.0,0.751
PC,0.0,50000,1017,0,4,,0.034
FCI,0.0,50000,1017,0,8,,0.046
GES,0.0,50000,1017,0,5,,0.045
GRaSP,0.0,50000,1017,0,6,,0.013
ICA-LiNGAM,0.0,50000,1017,0,0,0.0,0.167
DirectLiNGAM,0.0,50000,1017,0,0,0.0,0.736
PC,0.0,50000,1018,0,4,,0.031
FCI,0.0,50000,1018,0,8,,0.046
GES,0.0,50000,1018,0,5,,0.059
GRaSP,0.0,50000,1018,0,5,,0.013
ICA-LiNGAM,0.0,50000,1018,0,0,0.0,0.177
DirectLiNGAM,0.0,50000,1018,0,0,0.0,0.708
PC,0.0,50000,1019,0,8,,0.034
FCI,0.0,50000,1019,0,9,,0.055
GES,0.0,50000,1019,0,3,,0.052
